Zip,Airport
73456,K1F0
97405,KEUG
36453,K79J
48433,KFNT
61475,KMQB
97404,KEUG
24487,KHSP
61476,KGBG
24486,KSHD
61477,KMQB
73453,K1F0
61478,KBRL
97401,KEUG
61479,KC75
73450,KDUA
24483,KSHD
24482,KSHD
24485,KSHD
24484,KHSP
36454,KGZH
48432,KBAX
36456,KGZH
48430,KFNT
36458,N/A
48429,KRNP
48428,KD95
97439,KOTH
61480,N/A
48427,KBAX
48426,KCFS
61482,KMQB
12472,KPOU
61483,KC75
97436,KRBG
61484,KMQB
97435,KRBG
12473,N/A
36441,KNSE
48423,KFNT
61485,KGBG
97438,KEUG
36442,K0J4
48422,KPHN
61486,KMLI
97437,KEUG
61488,KGBG
97431,KEUG
61489,KGBG
73463,K1F0
97434,KRBG
24458,KSHD
73461,KAQR
73460,KADM
97430,KEUG
24459,KSHD
24450,KHSP
48421,KD95
12477,KPOU
36444,KGZH
48420,KFNT
12474,KMSV
36445,KGZH
48418,KOZW
61490,KGBG
97429,KRBG
12480,KMSV
48417,KHYX
61491,KC75
48416,KD95
48415,KHYX
48414,KRNP
12484,KPOU
48413,KBAX
97424,KEUG
12481,KPOU
48412,KD95
12482,KALB
97426,KEUG
48411,N/A
24465,KHSP
24464,KSHD
97420,KOTH
24467,KSHD
97423,KOTH
24468,N/A
48419,KBAX
24460,KHSP
12487,KPOU
36432,KGZH
12485,KALB
12486,KPOU
36435,KGZH
36436,KGZH
12489,N/A
24439,KHSP
12450,KMSV
97458,KOTH
12451,KALB
97457,KRBG
48401,KPHN
36420,K79J
73488,KPVJ
97459,KOTH
24432,KHSP
97454,KEUG
24431,KSHD
97453,KEUG
97456,KCVO
97455,KEUG
24433,N/A
97450,KOTH
24435,KHSP
73481,KPVJ
97452,KEUG
24437,KSHD
97451,KEUG
24430,KHSP
36421,K79J
12455,KMSV
12458,KMGJ
36425,KGZH
36426,KGZH
12457,KPOU
12461,KPOU
97447,KRBG
97446,KEUG
97449,KOTH
12460,KALB
97448,KEUG
97443,KRBG
24442,KSHD
97442,KSXT
24445,KHSP
97444,KBOK
97441,KOTH
24448,N/A
24441,KSHD
24440,KSHD
12465,KMSV
12466,KPOU
12463,KPOU
12464,KMSV
12469,KALB
12468,KALB
61401,KGBG
61410,KGBG
61411,KMQB
61412,KGBG
61413,KGBG
61414,KGBG
61415,KMQB
61417,KGBG
73401,K1F0
61420,KMQB
61421,KC75
61422,KMQB
61423,KGBG
61425,KBRL
61427,KMQB
61428,KGBG
61418,KBRL
61430,KGBG
61431,KMQB
61432,KPIA
61434,KGBG
61435,N/A
61436,KGBG
61437,KBRL
61438,KMQB
48476,KRNP
48475,KBAX
48473,KFNT
48472,KBAX
48471,KBAX
12603,KPOU
12604,N/A
12601,KPOU
48626,KMBS
48625,KHTL
48624,KIKW
48623,KMBS
48622,KMOP
48621,KGOV
24651,KJFZ
24656,KJFZ
48629,KHTL
48628,KIKW
24657,N/A
10019,KNYC
10018,KNYC
10011,KNYC
10010,KNYC
10013,KJRB
10012,KJRB
10014,KJRB
10017,KNYC
10016,KNYC
48616,KRNP
48615,KAMN
48614,KRNP
48613,KIKW
48612,KIKW
48611,KMBS
10020,KNYC
48610,KHTL
22003,KDAA
48619,KAPN
48618,KMOP
48617,KMOP
10029,KNYC
10022,KNYC
10021,KNYC
10024,KNYC
10023,KNYC
10026,KNYC
10025,KNYC
10028,KNYC
10027,KNYC
24637,KJFZ
48604,KHYX
48603,KMBS
24639,KJFZ
48602,KHYX
48601,KHYX
24630,KBLF
24631,KJFZ
24634,KJFZ
48609,KMBS
48607,KHYX
24635,N/A
24649,KJFZ
24641,KJFZ
24646,KJFZ
10007,KJRB
36617,KBFM
36618,KMOB
10009,KJRB
36619,KMOB
10002,KJRB
36610,KBFM
10001,KNYC
36611,KBFM
10004,KJRB
36612,KBFM
10003,KJRB
36613,KMOB
10006,KJRB
10005,KJRB
36615,KBFM
24614,KJFZ
24613,KBLF
36605,KBFM
36606,KBFM
36607,KBFM
36608,KMOB
36609,KMOB
36602,KBFM
36603,KBFM
36604,KBFM
24627,N/A
